"applicant_id","applicant_date","applicant_time","cust_id","applicant_income","coapplicant_income","credit_history","property_area","loan_amount","loan_amount_term","loan_account_id"
"2404010001","20240401","154707","CI00000620","2553","1768","1.00","Urban","102","360","202404010001"
"2404010002","20240401","152512","CI00000495","3958","2632","1.00","Semiurban","160","360","202404010002"
"2404010003","20240401","154707","CI00000455","4124","0","1.00","Semiurban","115","360","202404010003"
"2404010004","20240401","115520","CI00000332","3992","0","1.00","Urban",\N,"180","202404010004"
"2404010005","20240401","153549","CI00000250","6835","0","0.00","Semiurban","188","360","202404010005"
"2404010006","20240401","132149","CI00000218","3066","0","1.00","Semiurban","95","360","202404010006"
"2404020001","20240402","132149","CI00000443","5583","0","1.00","Urban","116","360","202404020001"
"2404020002","20240402","140555","CI00000334","3917","0","1.00","Semiurban","124","360","202404020002"
"2404020003","20240402","142728","CI00000254","2281","0","1.00","Rural","113","360","202404020003"
"2404020004","20240402","103050","CI00000121","3500","0","1.00","Semiurban","81","300","202404020004"
"2404030001","20240403","153549","CI00000973","4158","709","1.00","Urban","115","360","202404030001"
"2404030002","20240403","115520","CI00000906","5116","1451","0.00","Urban","165","360","202404030002"
"2404030003","20240403","131421","CI00000778","3691","0","1.00","Rural","110","360","202404030003"
"2404030004","20240403","114513","CI00000682","6500","0","0.00","Rural","105","360","202404030004"
"2404030005","20240403","132149","CI00000653","4333","0","1.00","Urban","66","480","202404030005"
"2404030006","20240403","131421","CI00000628","3902","1666","1.00","Rural","109","360","202404030006"
"2404030007","20240403","140555","CI00000349","150","1800","1.00","Rural","135","360","202404030007"
"2404030008","20240403","152512","CI00000270","3089","1280","0.00","Semiurban","121","360","202404030008"
"2404040001","20240404","131421","CI00000538","2855","542","1.00","Urban","90","360","202404040001"
"2404040002","20240404","111550","CI00000357","4258","0","1.00","Urban","125","360","202404040002"
"2404040003","20240404","143428","CI00000219","20166","0","0.00","Urban","650","480","202404040003"
"2404040004","20240404","103050","CI00000211","23803","0","1.00","Rural","370","360","202404040004"
"2404040005","20240404","131011","CI00000033","3881","0","0.00","Rural","147","360","202404040005"
"2404050001","20240405","131421","CI00000493","5128","0","1.00","Rural","143","360","202404050001"
"2404050002","20240405","140555","CI00000019","4950","0","1.00","Urban","125","360","202404050002"
"2404060001","20240406","143428","CI00000913","4333","2333","0.00","Rural","162","360","202404060001"
"2404060002","20240406","101052","CI00000831","3775","0","1.00","Semiurban","110","360","202404060002"
"2404060003","20240406","101052","CI00000471","2014","2925","1.00","Urban","113","360","202404060003"
